LocalCol;TimeCol;PLC1_AI_FT_PORT_IST;PLC1_AI_POS_GETTO1;PLC1_AI_PT_LINEA;PLC1_AI_POT_ATTIVA;PLC1_AI_LT_BACINO;PLC1_AI_LT_BACINO2;FREE6;FREE7;FREE8;FREE9;FREE10;FREE11;FREE12;FREE13;FREE14;FREE15;FREE16;FREE17;FREE18;FREE19;Info
;;MISURATORE DI PORTATA [EW168];POSIZIONE GETTO 1 [EW64];PRESSIONE ACQUA DI LINEA [EW166];G1 : Potenza attiva prodotta Turbina [STRUMENTO];LIVELLO ALL'OPERA DI PRESA [PlcOperaP];LIVELLO CA PREVITALI [PlcCaPrevitali];;;;;;;;;;;;;;;
12/01/2023 07:32:00;12/01/2023 06:32:00;14,5675;14,1029;32,4595;30,5436;34,9359;22,053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:33:00;12/01/2023 06:33:00;14,3263;14,1068;32,4334;30,3804;35,028;22,0909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:34:00;12/01/2023 06:34:00;14,4448;14,1029;32,4334;30,432;35,9518;22,0909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:35:00;12/01/2023 06:35:00;14,6982;14,1029;32,487;30,6636;36,8701;22,0666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:36:00;12/01/2023 06:36:00;15,5811;15,859;32,3597;36,2604;37,3388;22,0652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:37:00;12/01/2023 06:37:00;16,4598;16,1042;32,3322;36,9696;36,415;22,0435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:38:00;12/01/2023 06:38:00;17,2118;16,6382;32,2092;39,2532;35,5806;22,0435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:39:00;12/01/2023 06:39:00;16,3331;14,9137;32,3973;33,2352;33,5489;22,0435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:40:00;12/01/2023 06:40:00;14,6124;14,1029;32,4002;30,2784;32,6224;22,0435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:41:00;12/01/2023 06:41:00;14,265;14,1305;32,3351;29,7672;33,1777;22,0435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
