LocalCol;TimeCol;PLC1_AI_FT_PORT_IST;PLC1_AI_POS_GETTO1;PLC1_AI_PT_TURBINA;PLC1_AI_POT_ATTIVA;PLC1_AI_POS_GETTO2;PLC1_AI_LT_BACINO;FREE6;FREE7;FREE8;FREE9;FREE10;FREE11;FREE12;FREE13;FREE14;FREE15;FREE16;FREE17;FREE18;FREE19;Info
;;MISURATORE DI PORTATA [EW168];POSIZIONE GETTO 1 [EW64];PRESSIONE ACQUA TURBINA [EW164];G1 : Potenza attiva prodotta Turbina [STRUMENTO];POSIZIONE GETTO 2 [EW66];LIVELLO ALL'OPERA DI PRESA [PlcOperaP];;;;;;;;;;;;;;;
01/08/2023 18:15;01/08/2023 16:15;24,1558;22,3378;30,7682;60,8592;0;40,3892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 18:30;01/08/2023 16:30;23,8084;22,6067;30,6641;60,2904;0;40,205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 18:45;01/08/2023 16:45;24,2988;22,6067;30,3472;60,3804;0;39,5575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 19:00;01/08/2023 17:00;14,5756;14,9137;30,8391;32,676;0;40,2998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 19:15;01/08/2023 17:15;14,498;14,9137;30,8464;32,7756;0;40,205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 19:30;01/08/2023 17:30;14,3672;14,9137;30,8174;32,628;0;40,0208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 19:45;01/08/2023 17:45;14,498;14,9137;30,8637;33,0708;0;40,1129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 20:00;01/08/2023 18:00;3,3729;6,67877;31,6956;0;0;40,5761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 20:15;01/08/2023 18:15;15,295;15,3132;30,9361;34,248;0;39,6496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 20:30;01/08/2023 18:30;14,0566;14,5103;31,0069;30,846;0;40,2944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 20:45;01/08/2023 18:45;14,6369;14,9137;30,816;32,916;0;39,7417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 21:00;01/08/2023 19:00;1,04326;0,2;31,2674;0;0;40,2944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 21:15;01/08/2023 19:15;1,43562;6,13294;31,2254;0;0;40,6628;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 21:30;01/08/2023 19:30;15,4789;15,3171;30,884;34,1148;0;39,9287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 21:45;01/08/2023 19:45;13,7541;14,5103;30,9925;30,5712;0;40,6709;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 22:00;01/08/2023 20:00;13,9176;14,5103;31,0258;30,2724;0;40,4786;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 22:15;01/08/2023 20:15;16,0919;16,2625;30,9823;37,6104;0;40,2863;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 22:30;01/08/2023 20:30;22,6476;21,527;30,8261;57,4632;0;40,8524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 22:45;01/08/2023 20:45;29,1216;27,0644;30,6612;74,9172;0;40,8524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 23:00;01/08/2023 21:00;30,4663;28,8798;30,2025;78,3024;0;40,1129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 23:15;01/08/2023 21:15;20,2935;18,695;30,8131;48,1608;0;40,6682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 23:30;01/08/2023 21:30;20,0482;19,399;30,9968;50,1984;0;41,4078;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/2023 23:45;01/08/2023 21:45;30,9036;28,8324;30,3458;79,2492;0;40,5761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023;01/08/2023 22:00;33,225;30,9762;30,4876;86,2716;0;40,4813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 00:15;01/08/2023 22:15;36,1473;33,8121;30,3111;93,1176;0;40,0208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 00:30;01/08/2023 22:30;33,0043;29,8964;30,6019;84,3336;0;40,8524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 00:45;01/08/2023 22:45;34,537;30,9762;30,5917;86,9928;0;40,7576;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 01:00;01/08/2023 23:00;35,5833;33,8121;30,463;93,8136;0;41,0367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 01:15;01/08/2023 23:15;38,3257;36,2406;30,1649;98,5608;0;40,2971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 01:30;01/08/2023 23:30;33,5602;30,9762;30,5932;87,3972;0;41,3157;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 01:45;01/08/2023 23:45;31,6147;29,224;30,6872;82,692;0;41,3103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 02:00;02/08/2023;38,1786;37,0515;29,9146;98,9556;0;40,4407;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 02:15;02/08/2023 00:15;38,7671;37,1701;29,9132;99,0996;0;40,2456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 02:30;02/08/2023 00:30;30,2129;26,4038;30,6641;77,2992;0;40,9446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 02:45;02/08/2023 00:45;20,7185;19,5018;31,4091;52,518;0;42,2584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 03:00;02/08/2023 01:00;33,9689;31,6525;30,7364;89,4888;0;41,7762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 03:15;02/08/2023 01:15;41,2153;40,2909;30,1157;107,808;0;40,2971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 03:30;02/08/2023 01:30;41,8774;40,8327;30,0665;108,145;0;40,1996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 03:45;02/08/2023 01:45;35,4035;33,1357;30,6019;92,9964;0;40,7685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 04:00;02/08/2023 02:00;36,1678;34,4885;30,6539;96,336;0;41,1288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 04:15;02/08/2023 02:15;42,936;42,4346;30,3053;113,29;0;41,3617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 04:30;02/08/2023 02:30;44,3828;44,2066;30,2025;116,552;0;41,0367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 04:45;02/08/2023 02:45;41,154;39,0766;30,4731;107,028;0;41,4999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 05:00;02/08/2023 03:00;36,0124;33,8121;30,5888;95,0748;0;41,2209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 05:15;02/08/2023 03:15;37,026;35,236;29,9277;95,0148;0;39,9287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 05:30;02/08/2023 03:30;35,3585;33,1357;30,1071;90,8016;0;40,6682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 05:45;02/08/2023 03:45;25,807;23,5521;30,6727;65,0028;0;41,2046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 06:00;02/08/2023 04:00;26,608;25,3082;31,0402;70,8132;0;41,7762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 06:15;02/08/2023 04:15;37,1814;35,5682;30,2561;97,188;0;40,205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 06:30;02/08/2023 04:30;40,6881;39,6185;29,7786;104,15;0;39,0943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 06:45;02/08/2023 04:45;40,1813;38,8076;29,919;103,085;0;39,7417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 07:00;02/08/2023 05:00;33,973;31,3835;30,4774;87,6384;0;40,5653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 07:15;02/08/2023 05:15;23,367;21,527;30,8058;58,5372;0;40,6222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 07:30;02/08/2023 05:30;23,6735;21,9343;30,6105;59,4156;0;40,3892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 07:45;02/08/2023 05:45;19,4924;18,7622;30,7841;47,916;0;40,6926;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 08:00;02/08/2023 06:00;22,4229;21,2501;30,7263;56,1228;0;40,8524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 08:15;02/08/2023 06:15;25,1939;23,6865;30,3921;63,4752;0;39,5575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 08:30;02/08/2023 06:30;20,6286;19,4109;30,774;50,0304;0;40,6682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 08:45;02/08/2023 06:45;24,2212;22,8797;30,8521;62,2668;0;40,5761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 09:00;02/08/2023 07:00;31,6188;29,6946;30,1317;81,3504;0;38,5416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 09:15;02/08/2023 07:15;31,6433;29,224;30,3573;81,4272;0;39,4139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 09:30;02/08/2023 07:30;21,5564;19,7748;30,7755;51,8988;0;40,1129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 09:45;02/08/2023 07:45;16,1001;15,8669;30,8898;36,8328;0;39,6496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 10:00;02/08/2023 08:00;21,0292;20,1782;30,748;52,9932;0;40,0208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 10:15;02/08/2023 08:15;22,6885;21,527;30,6727;56,9844;0;40,1129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 10:30;02/08/2023 08:30;18,3766;17,6152;30,8391;43,062;0;40,1129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 10:45;02/08/2023 08:45;14,9067;15,1827;30,9057;34,0992;0;40,205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 11:00;02/08/2023 09:00;24,4214;23,3899;30,7957;62,0268;0;40,5761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 11:15;02/08/2023 09:15;32,052;29,6274;30,4109;82,5408;0;39,926;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 11:30;02/08/2023 09:30;31,4063;28,5476;30,3602;79,1076;0;38,9344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 11:45;02/08/2023 09:45;23,1912;20,4472;30,9505;54,9888;0;40,2971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
