,t,Q,P,h,Target,dt,tIn,tOff,PRlast24,EnergiaPersa,MinutiFermi,MancataProduzione
62,2023-10-26 03:47:31,27.50227,51.0985,273.772351098,64.62285062240461,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.18007319874981,-12.845244791666667,-15,-2.6975014062500002
63,2023-10-26 04:02:31,27.45232,51.3235,272.86386473199997,64.2914266779952,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.84288642827005,-12.845244791666667,-15,-2.6975014062500002
64,2023-10-26 04:17:31,27.44096,51.289,272.975118366,64.29102477229911,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.79637389167041,-12.845244791666667,-15,-2.6975014062500002
65,2023-10-26 04:32:31,27.53179,51.5835,273.586962366,64.6484073620922,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.80908618322641,-12.845244791666667,-15,-2.6975014062500002
66,2023-10-26 04:47:31,27.46367,51.073,273.03079617000003,64.35735577343512,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.43079753338972,-12.845244791666667,-15,-2.6975014062500002
67,2023-10-26 05:02:31,27.44096,51.5555,273.716775268,64.46569960180169,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.96893768077672,-12.845244791666667,-15,-2.6975014062500002
68,2023-10-26 05:17:31,28.24705,56.7595,289.124128902,70.09473860879326,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,70.84547519996057,-12.845244791666667,-15,-2.6975014062500002
69,2023-10-26 05:32:31,28.15849,55.758,286.75088800000003,69.30141754316345,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,70.39212025646118,-12.845244791666667,-15,-2.6975014062500002
70,2023-10-26 05:47:31,28.32879,56.4175,289.38365273200003,70.36067606996916,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,70.15244484320972,-12.845244791666667,-15,-2.6975014062500002
71,2023-10-26 06:02:32,28.12444,55.5635,284.544578536,68.68504445464538,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,70.77606092085475,-12.845244791666667,-15,-2.6975014062500002
72,2023-10-26 06:17:31,27.39782,49.831,269.860322536,63.45751012672994,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,68.70297636172742,-12.845244791666667,-15,-2.6975014062500002
73,2023-10-26 06:32:32,27.42961,50.711,271.547482366,63.92833565751354,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.40132371617298,-12.845244791666667,-15,-2.6975014062500002
74,2023-10-26 06:47:32,27.40918,50.347,271.343534366,63.832742691329436,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.00635208158226,-12.845244791666667,-15,-2.6975014062500002
75,2023-10-26 07:02:32,27.37966,50.702,271.547482366,63.81192057300841,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.5155962515111,-12.845244791666667,-15,-2.6975014062500002
76,2023-10-26 07:17:32,27.44323,50.931,272.01105617,64.06926867628431,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.54908389801521,-12.845244791666667,-15,-2.6975014062500002
77,2023-10-26 07:32:32,27.38647,50.857,271.60316017,63.84087936104802,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.6964816059252,-12.845244791666667,-15,-2.6975014062500002
78,2023-10-26 07:47:32,27.37057,50.7545,272.21500417,63.94754639893223,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.43998929708046,-12.845244791666667,-15,-2.6975014062500002
79,2023-10-26 08:02:32,27.50454,51.0835,272.381833634,64.29993141829007,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.50709100452238,-12.845244791666667,-15,-2.6975014062500002
80,2023-10-26 08:17:32,27.39782,51.0765,272.32625780399997,64.03737348259654,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.78251153757066,-12.845244791666667,-15,-2.6975014062500002
81,2023-10-26 08:32:32,27.3297,50.825,271.621617464,63.712871666967715,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.79256897605057,-12.845244791666667,-15,-2.6975014062500002
82,2023-10-26 08:47:32,27.46821,51.15,272.159326366,64.16254249423687,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.74660141605987,-12.845244791666667,-15,-2.6975014062500002
83,2023-10-26 09:02:32,27.38647,50.48,271.825565464,63.893156181150644,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.12322329156858,-12.845244791666667,-15,-2.6975014062500002
84,2023-10-26 09:17:32,27.31608,50.44,271.362093634,63.62027496969651,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.36470015410802,-12.845244791666667,-15,-2.6975014062500002
85,2023-10-26 09:32:32,27.41826,50.952,271.973937634,64.00223852214081,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.65063000540394,-12.845244791666667,-15,-2.6975014062500002
86,2023-10-26 09:47:32,27.45913,51.002,272.752611098,64.28115544981601,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.41646753618382,-12.845244791666667,-15,-2.6975014062500002
87,2023-10-26 10:02:32,27.48184,51.055,272.678476,64.31683271822307,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.45005728167773,-12.845244791666667,-15,-2.6975014062500002
88,2023-10-26 10:17:32,27.48411,51.193,272.21500417,64.21281688537569,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.75058203782481,-12.845244791666667,-15,-2.6975014062500002
89,2023-10-26 10:32:32,27.40691,51.2815,272.845407438,64.18073794927044,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.90608662968701,-12.845244791666667,-15,-2.6975014062500002
90,2023-10-26 10:47:32,27.38193,51.215,272.697035268,64.0873710803601,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.91714684176205,-12.845244791666667,-15,-2.6975014062500002
91,2023-10-26 11:02:32,27.36831,50.9365,272.511646536,64.01194638225489,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.61888194213654,-12.845244791666667,-15,-2.6975014062500002
92,2023-10-26 11:17:32,27.45459,51.06,272.882424,64.30111610514463,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.47383556634703,-12.845244791666667,-15,-2.6975014062500002
93,2023-10-26 11:32:32,27.44096,51.181,272.32625780399997,64.13820531126171,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.81535340686604,-12.845244791666667,-15,-2.6975014062500002
94,2023-10-26 11:47:32,27.38647,51.132,272.771170366,64.11542255107805,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.77329754926956,-12.845244791666667,-15,-2.6975014062500002
95,2023-10-26 12:02:32,27.45913,50.8455,272.437511438,64.20689412507525,23.750555555555554,2023-10-25 12:06:32.953339,2023-10-26 12:02:32,69.2835029386228,-12.845244791666667,-15,-2.6975014062500002
