VarName;TimeString;VarValue;Validity;Time_ms
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 18:02;'1,55252E-18';1;44319752009
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 18:17;'0,000000179038';1;44319762427
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 18:32;'2,24373E-15';1;44319772844
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 18:47;'2,48625E-17';1;44319783260
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 19:02;'0,0000000000699884';1;44319793676
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 19:17;'2,01551E-14';1;44319804094
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 19:32;'2,88018E-19';1;44319814510
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 19:47;'0,0000000231653';1;44319824926
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 20:02;'1,36563E-21';1;44319835343
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 20:17;'0,00000000367278';1;44319845760
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 20:32;'1,59715E-15';1;44319856177
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 20:47;'1,1419E-25';1;44319866594
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 21:02;'0,000000016092';1;44319877010
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 21:17;'0,0000000000202198';1;44319887427
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 21:32;'0,000484159';1;44319897843
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 21:47;'0,00000000000148688';1;44319908260
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 22:02;'3,37837E-20';1;44319918677
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 22:17;'0,00000000222349';1;44319929093
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 22:32;'0,00000000109286';1;44319939510
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 22:47;'0,001312505';1;44319949927
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 23:02;'0,0000000761159';1;44319960343
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 23:17;'0,00000000000898316';1;44319970760
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 23:32;'0,0000484089';1;44319981177
Analog_IN_DB v1.3_Durchfluss_Wert_g;03/05/2021 23:47;'2,80193E-21';1;44319991593
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 00:02;'0,00000053889';1;44320002010
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 00:17;'0,00000000442648';1;44320012427
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 00:32;'0,0000000120323';1;44320022843
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 00:47;'0,0000000117795';1;44320033260
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 01:02;'4,29316E-16';1;44320043677
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 01:17;'0,000534115';1;44320054093
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 01:32;'0,00000000000054629';1;44320064510
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 01:47;'7,99739E-25';1;44320074926
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 02:02;'0,000000000108899';1;44320085343
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 02:17;'4,07837E-16';1;44320095760
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 02:32;'0,0000000271798';1;44320106177
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 02:47;'0,000000000000537683';1;44320116593
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 03:02;'0,00073045';1;44320127010
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 03:17;'8,96632E-14';1;44320137427
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 03:32;'1,76065E-23';1;44320147843
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 03:47;'0,0000404533';1;44320158259
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 04:02;'0,000000000000222096';1;44320168677
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 04:17;'0,000000924034';1;44320179093
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 04:32;'0,00000000000491357';1;44320189510
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 04:47;'3,35796E-24';1;44320199927
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 05:02;'0,00000197088';1;44320210343
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 05:17;'2,31086E-17';1;44320220760
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 05:32;'9,28576E-28';1;44320231176
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 05:47;'0,000000036155';1;44320241594
Analog_IN_DB v1.3_Durchfluss_Wert_g;04/05/2021 06:02;'4,9747E-18';1;44320252009
