,x__TimeStamp,PLC1_AI_PT_LINEA,PLC1_AI_PT_TURBINA,PLC1_AI_POT_ATTIVA,PLC1_AI_FT_PORT_IST,PLC1_AI_COSPHI,PLC1_AI_LT_STRAMAZZO
10988,20/09/2022 02:00:00,33.4441,32.7389,0.0,0.3842,0.0000,0.0000
10989,20/09/2022 02:15:00,33.4453,32.739,0.0,0.3867,0.0000,0.0000
10990,20/09/2022 02:30:00,33.3668,32.6572,0.0,0.3716,0.0000,0.0000
10991,20/09/2022 02:45:00,33.1501,32.4457,0.0,0.3814,0.0000,0.0000
10992,20/09/2022 03:00:00,33.1284,32.4164,0.0,0.3957,0.0000,0.0000
10993,20/09/2022 03:15:00,33.1474,32.4391,0.0,0.3821,0.0000,0.0000
10994,20/09/2022 03:30:00,33.0577,32.353,0.0,0.385,0.0000,0.0000
10995,20/09/2022 03:45:00,33.0512,32.3469,0.0,0.3887,0.0000,0.0000
10996,20/09/2022 04:00:00,33.0765,32.3679,0.0,0.3923,0.0000,0.0000
10997,20/09/2022 04:15:00,33.1069,32.3998,0.0,0.3921,0.0000,0.0000
10998,20/09/2022 04:30:00,32.9969,32.2881,0.0,0.3953,0.0000,0.0000
10999,20/09/2022 04:45:00,32.9311,32.2182,0.0,0.3974,0.0000,0.0000
11000,20/09/2022 05:00:00,32.8752,32.1604,0.0,0.4019,0.0000,0.0000
11001,20/09/2022 05:15:00,32.8935,32.1764,0.0,0.4032,0.0000,0.0000
11002,20/09/2022 05:30:00,32.846,32.1314,0.0,0.3998,0.0000,0.0000
11003,20/09/2022 05:45:00,32.7508,32.0327,0.0,0.399,0.0000,0.0000
11004,20/09/2022 06:00:00,32.7319,32.0131,0.0,0.4012,0.0000,0.0000
11005,20/09/2022 06:15:00,32.6851,31.9718,0.0,0.4044,0.0000,0.0000
11006,20/09/2022 06:30:00,32.7026,31.9856,0.0,0.3993,0.0000,0.0000
11007,20/09/2022 06:45:00,32.8021,32.0802,0.0,0.3969,0.0000,0.0000
11008,20/09/2022 07:00:00,32.6439,31.9297,0.0,0.3956,0.0000,0.0000
11009,20/09/2022 07:15:00,32.655,31.9437,0.0,0.4148,0.0000,0.0000
11010,20/09/2022 07:30:00,32.6577,31.9474,0.0,0.4301,0.0000,0.0000
11011,20/09/2022 07:45:00,32.6955,31.9965,0.0,0.4115,0.0000,0.0000
11012,20/09/2022 08:00:00,32.795,32.1019,0.0,0.4082,0.0000,0.0000
11013,20/09/2022 08:15:00,32.7458,32.0611,0.0,0.418,0.0000,0.0000
11014,20/09/2022 08:30:00,32.7645,32.079,0.0,0.4047,0.0000,0.0000
11015,20/09/2022 08:45:00,32.7665,32.09,0.0,0.3972,0.0000,0.0000
11016,20/09/2022 09:00:00,32.6764,32.0062,0.0,0.3976,0.0000,0.0000
11017,20/09/2022 09:15:00,32.749,32.0823,0.0,0.4023,0.0000,0.0000
11018,20/09/2022 09:30:00,32.7764,32.1112,0.0,0.413,0.0000,0.0000
11019,20/09/2022 09:45:00,32.6763,32.017,0.0,0.4084,0.0000,0.0000
11020,20/09/2022 10:00:00,32.7034,32.0412,0.0,0.4018,0.0000,0.0000
11021,20/09/2022 10:15:00,32.7672,32.103,0.0,0.4031,0.0000,0.0000
11022,20/09/2022 10:30:00,32.8071,32.1468,0.0,0.4054,0.0000,0.0000
11023,20/09/2022 10:45:00,32.7884,32.1329,0.0,0.41,0.0000,0.0000
11024,20/09/2022 11:00:00,32.8597,32.2066,0.0,0.4012,0.0000,0.0000
11025,20/09/2022 11:15:00,32.6635,32.0115,0.0,0.408,0.0000,0.0000
11026,20/09/2022 11:30:00,32.5704,31.9166,0.0,0.408,0.0000,0.0000
11027,20/09/2022 11:45:00,32.6881,32.0317,0.0,0.4188,0.0000,0.0000
11028,20/09/2022 12:00:00,32.8122,32.1565,0.0,0.4055,0.0000,0.0000
11029,20/09/2022 12:15:00,32.8128,32.1598,0.0,0.4084,0.0000,0.0000
11030,20/09/2022 12:30:00,32.8895,32.2411,0.0,0.3933,0.0000,0.0000
11031,20/09/2022 12:45:00,32.9334,32.2897,0.0,0.4042,0.0000,0.0000
11032,20/09/2022 13:00:00,32.8873,32.2391,0.0,0.4088,0.0000,0.0000
11033,20/09/2022 13:15:00,32.8749,32.2285,0.0,0.3971,0.0000,0.0000
11034,20/09/2022 13:30:00,32.8341,32.1872,0.0,0.3998,0.0000,0.0000
11035,20/09/2022 13:45:00,32.6685,32.0231,0.0,0.396,0.0000,0.0000
11036,20/09/2022 14:00:00,32.7337,32.088,0.0,0.4019,0.0000,0.0000
11037,20/09/2022 14:15:00,32.7366,32.0875,0.0,0.4004,0.0000,0.0000
